accuracy,loss,val_accuracy,val_loss
0.6100000143051147,1.1752549409866333,0.9750000238418579,0.7908321619033813
0.9887499809265137,0.38068637251853943,0.9950000047683716,0.09672338515520096
1.0,0.041770558804273605,1.0,0.016321739181876183
1.0,0.01091034896671772,1.0,0.007881617173552513
1.0,0.006021194625645876,1.0,0.005323607940226793
1.0,0.004014361184090376,1.0,0.0042848242446780205
1.0,0.002973436377942562,1.0,0.0029286823701113462
1.0,0.0022546621039509773,1.0,0.0028593542519956827
1.0,0.0018224933883175254,1.0,0.0019607977010309696
1.0,0.00146963307633996,1.0,0.0016862101620063186
1.0,0.0012032133527100086,1.0,0.0013854294084012508
1.0,0.0010051624849438667,1.0,0.0012851236388087273
1.0,0.0008580472785979509,1.0,0.0010859479662030935
1.0,0.0007418712484650314,1.0,0.0009296179632656276
1.0,0.0006462359451688826,1.0,0.0008300390909425914
1.0,0.0005665976786985993,1.0,0.0007855022558942437
1.0,0.0005066099110990763,1.0,0.0006757585215382278
1.0,0.00044705611071549356,1.0,0.0006498577422462404
1.0,0.00039981663576327264,1.0,0.000540577108040452
1.0,0.00036277167964726686,1.0,0.0005234168493188918
1.0,0.0003311253385618329,1.0,0.00046534559805877507
1.0,0.00030056387186050415,1.0,0.00041515298653393984
1.0,0.0002712892892304808,1.0,0.0004039615741930902
1.0,0.0002491040213499218,1.0,0.00036251189885661006
1.0,0.00022879544121678919,1.0,0.00034313666401430964
1.0,0.00021154567366465926,1.0,0.0003240570367779583
1.0,0.00019550467550288886,1.0,0.00028802198357880116
1.0,0.0001827792584663257,1.0,0.0002788014244288206
1.0,0.00016963457164820284,1.0,0.00026087972219102085
1.0,0.00015756576613057405,1.0,0.0002482743584550917
